question,options,answer

"  Quel est le principal objectif du référentiel concernant le domaine d"  "  application des extincteurs?"  , "  ["Définir les exigences pour la fabrication des extincteurs.", "Définir les exigences pour la conception, la réalisation et la maintenance des installations d"  "  extincteurs.", "Établir les tarifs de location des extincteurs portatifs.", "Former le personnel à l"  "  utilisation des extincteurs en entreprise."] "  , "  1"  ,
"  Le référentiel s'applique-t-il uniquement aux bâtiments industriels?"  , "  ["Oui, car les risques d"  "  incendie y sont plus élevés.", "Oui, car ce sont les seuls lieux mentionnés explicitement.", "Non, il concerne principalement les établissements recevant du public ERP.", "Non, il concerne des surfaces diverses telles que les locaux industriels, agricoles, commerciaux ou administratifs, ainsi que certaines parties d"  "  habitation."] "  , "  3"  ,
"  Quels types de surfaces couvertes sont spécifiquement mentionnés dans le domaine d"  "  application?"  , "  ["Uniquement les parkings souterrains et les zones de stockage de produits chimiques.", "Les théâtres, cinémas et hôpitaux.", "Les locaux techniques, les parcs de stationnement couverts, les dégagements, halls d"  "  entrée, etc.", "Les habitations individuelles de plus de trois étages."] "  , "  2"  ,
"  Les installations particulières mentionnées dans le domaine d"  "  application concernent principalement?"  , "  ["Les installations particulières visées au § 2.3.", "Les habitations individuelles isolées.", "Les véhicules de transport de marchandises dangereuses.", "Les chantiers de construction de moins de 50 personnes."] "  , "  0"  ,
"  Quelle information importante est précisée concernant le personnel à la fin de la section sur le domaine d"  "  application?"  , "  ["Le personnel doit vérifier les extincteurs quotidiennement.", "Le personnel doit choisir le type d"  "  extincteur adapté à chaque risque.", "Note : le personnel doit être formé à la manœuvre des extincteurs!", "Note : un registre de sécurité doit être tenu à jour par le personnel."] "  , "  2"  ,
"  Quelle est la fonction principale d"  "  une installation d"  "  extincteurs selon le texte?"  , "  ["Éteindre complètement un incendie de grande ampleur.", "Remplacer les systèmes automatiques de détection et d"  "  extinction.", "Être un moyen de première intervention dans la lutte contre l"  "  incendie.", "Garantir l"  "  évacuation rapide des occupants d"  "  un bâtiment."] "  , "  2"  ,
"  Dans quelle situation un extincteur est-il particulièrement efficace?"  , "  ["Lorsque l' incendie s'est propagé à plusieurs pièces.", "Lorsque les flammes atteignent une hauteur de plus de 3 mètres.", "Lorsque les matériaux en combustion sont des liquides inflammables.", "Sur un foyer naissant."] "  , "  3"  ,
"  Pourquoi le temps d"  "  utilisation d"  "  un extincteur est-il limité?"  , "  ["En raison de la complexité de sa manipulation.", "À cause de la réglementation en vigueur concernant la durée d"  "  intervention.", "En raison de la quantité limitée d"  "  agent extincteur.", "Pour éviter une utilisation excessive par le personnel non formé."] "  , "  2"  ,
"  La mise en place d"  "  une installation d"  "  extincteurs dépend-elle d' autres moyens de prévention et de lutte contre l' incendie?" , " ["Non, elle est indépendante de tout autre moyen.", "Oui, elle doit être précédée de l' installation de détecteurs de fumée.", "Oui, elle est obligatoire uniquement si un système d' alarme incendie est présent.", "Oui, le nombre d' extincteurs dépend des autres moyens de lutte disponibles."] " , " 0" ,
" Selon le référentiel APSAD R4, une installation d' extincteurs est considérée comme?" , " ["Le seul moyen de secours obligatoire dans tous les types de bâtiments.", "Un moyen de prévention primaire contre le risque d' incendie.", "L' un des moyens de secours prévus par le référentiel APSAD R4 Maîtrise du risque incendie.", "Un équipement devant être vérifié annuellement par un organisme certifié."] " , " 2" ,
" Que désigne le terme "Agent extincteur"?" , " ["L' ensemble du dispositif de l' extincteur.", "La personne formée à l' utilisation de l' extincteur.", "La substance contenue dans l' extincteur et dont l' action provoque l' extinction d' un incendie.", "Le mécanisme de déclenchement de l' extincteur."] " , " 2" ,
